Label,WordQty,W2,W3,W4,W5,W6,W7,P4,P5,P6,P7
1,6360,132.84,91.76,83.66,84.41,84.36,84.33,8.74,8.68,8.78,8.94
1,450,196.76,124.33,114.39,117.91,118.12,117.71,10.00,10.08,10.11,10.25
1,803,259.86,208.11,197.54,200.92,201.52,202.06,7.59,7.58,7.65,7.83
1,486,272.58,192.30,178.08,182.74,182.80,182.98,7.10,7.00,7.02,7.07
1,531,138.62,104.03,90.00,88.98,88.90,88.72,8.24,8.26,8.27,8.40
0,1128,147.71,99.14,106.30,109.02,109.16,109.29,7.99,8.16,8.22,8.40
1,910,190.27,131.74,115.77,119.81,120.13,120.20,7.25,7.28,7.32,7.57
1,1234,152.52,112.23,104.88,101.17,101.67,102.29,7.95,8.07,8.15,8.32
0,329,184.85,137.64,153.39,150.60,151.40,151.30,9.57,9.52,9.56,9.97
1,5832,115.63,80.50,72.71,73.13,73.02,72.98,8.30,8.27,8.40,8.56
0,501,153.24,114.09,119.41,125.47,126.34,126.54,8.43,8.67,8.79,8.95
0,646,145.42,107.42,117.13,120.77,120.71,120.83,7.84,7.92,8.07,8.25
1,1540,132.46,92.04,82.91,81.88,82.13,82.31,8.68,8.70,8.82,8.98
0,518,174.33,132.26,139.95,144.20,144.98,145.20,7.57,7.80,8.01,8.10
0,616,130.29,85.72,95.18,97.77,97.35,97.59,7.70,7.80,7.98,8.17
0,391,150.84,109.82,126.32,129.09,129.57,129.63,7.33,7.47,7.65,7.79
0,560,147.68,103.53,108.52,111.82,112.99,113.10,7.96,8.08,8.28,8.41
0,7162,148.00,103.41,110.89,116.15,116.74,116.90,8.23,8.35,8.53,8.68
0,326,96.40,61.30,63.60,66.96,67.76,67.78,7.91,7.88,8.18,8.38
1,528,189.45,145.42,132.92,134.72,136.00,135.55,8.26,8.24,8.23,8.28
0,801,120.44,79.54,89.08,92.61,93.03,93.10,7.75,7.77,7.96,8.21
0,485,166.48,118.50,124.72,131.76,131.84,131.90,7.95,8.20,8.40,8.47
0,542,141.65,80.51,87.33,90.85,91.58,91.68,8.76,8.73,8.98,9.12
0,927,152.36,111.99,121.41,125.30,125.63,125.75,8.42,8.53,8.76,8.95
1,432,268.22,212.93,207.87,218.01,218.47,217.93,7.88,7.78,7.86,7.87
1,472,198.11,138.60,128.64,130.65,130.73,130.87,8.22,8.18,8.43,8.64
0,1534,136.44,90.48,99.01,101.76,102.51,102.75,8.04,8.22,8.42,8.62
0,6817,153.78,110.44,120.82,124.97,125.44,125.50,8.22,8.33,8.57,8.78
0,1124,135.08,96.97,109.95,109.89,110.55,110.67,8.26,8.43,8.60,8.81
0,244,92.24,59.55,69.13,70.57,71.27,71.27,8.63,8.71,9.07,9.47
0,503,146.96,104.50,114.64,118.80,118.83,118.92,7.55,7.64,7.80,7.76
1,492,251.38,196.24,184.41,191.25,192.35,192.27,7.90,7.88,8.00,8.03
0,527,137.71,92.82,100.97,105.98,106.64,106.77,8.84,8.84,8.99,9.12
0,334,130.21,85.92,93.79,96.72,97.10,97.17,10.60,10.75,11.06,11.30
0,309,125.67,81.64,90.32,92.71,92.92,92.69,7.66,7.87,8.14,8.41
0,276,124.73,86.19,86.33,99.24,99.47,99.17,8.52,8.62,8.81,8.90
1,375,238.62,192.18,172.93,185.10,184.94,184.37,7.75,7.69,7.69,7.86
0,435,177.10,137.77,151.67,159.87,160.74,161.05,8.42,8.62,8.80,8.96
0,701,167.44,119.99,130.06,133.79,134.49,134.95,8.39,8.49,8.68,8.95
1,382,156.44,116.35,99.89,108.71,109.34,109.26,6.66,6.71,6.66,6.77
1,508,249.08,198.39,175.60,185.97,186.01,185.88,6.68,6.57,6.60,6.65
0,1945,161.58,113.70,125.67,130.32,130.56,130.65,8.28,8.46,8.66,8.90
0,239,135.47,87.98,95.07,95.28,95.59,95.58,9.09,9.00,9.34,9.98
0,660,183.31,132.91,144.33,148.21,148.28,148.43,8.58,8.82,8.98,9.26
0,1740,176.41,128.39,137.52,140.51,140.57,140.62,8.40,8.49,8.71,8.79
1,561,179.34,123.93,117.45,121.38,121.45,121.63,8.27,8.23,8.32,8.51
0,641,145.92,88.88,96.74,103.18,103.28,103.27,7.38,7.60,7.79,8.04
0,174,140.90,90.82,101.33,101.10,101.07,101.10,12.13,12.41,12.88,12.84
0,1820,145.54,94.60,104.91,107.06,108.05,108.31,7.96,8.13,8.27,8.50
0,591,147.52,92.87,100.56,99.89,100.41,100.68,7.74,7.88,8.18,8.33
0,1065,134.71,100.76,106.51,112.09,112.59,112.69,7.50,7.57,7.78,7.84
0,644,155.41,111.77,124.23,124.73,125.53,125.69,8.43,8.64,8.76,8.97
1,1379,93.45,53.61,42.50,41.09,40.69,40.73,7.83,7.77,7.95,7.99
1,406,245.98,199.89,185.57,193.02,193.52,193.52,9.19,9.22,9.27,9.40
1,575,200.47,131.14,122.91,125.77,126.39,126.55,9.31,9.20,9.13,9.30
1,1208,93.40,60.97,48.14,46.48,45.58,45.70,8.24,8.10,8.09,8.30
1,541,202.57,145.85,131.48,133.77,134.34,134.61,7.90,7.95,7.93,8.04
1,200,257.26,211.53,187.38,193.37,194.28,193.53,6.98,7.00,7.08,7.25
0,1155,158.63,114.47,121.91,125.63,126.71,126.81,8.57,8.71,8.92,9.07
0,706,154.10,107.82,113.06,122.77,123.39,123.47,8.16,8.29,8.47,8.75
1,1778,138.28,98.97,90.90,92.17,91.89,91.98,8.03,7.97,8.00,8.15
1,558,251.12,205.46,196.71,202.36,202.71,202.88,7.62,7.43,7.44,7.62
0,518,141.23,101.89,110.43,115.75,116.77,116.45,9.06,9.13,9.30,9.50
0,1177,161.98,107.65,116.96,118.16,118.84,118.63,9.13,9.33,9.70,9.83
0,525,125.74,87.06,95.27,99.85,100.48,100.52,8.02,8.12,8.13,8.43
0,505,136.71,101.06,117.15,119.50,119.78,119.87,7.17,7.22,7.28,7.60
1,1151,253.28,186.71,166.34,175.92,176.53,176.62,7.65,7.71,7.80,7.92
1,611,356.64,248.77,227.61,228.11,227.01,226.75,8.02,8.05,8.26,8.35
0,684,152.07,103.09,114.34,116.29,117.55,117.82,8.38,8.53,8.68,8.92
1,1022,243.10,180.98,161.44,167.47,167.73,167.85,8.33,8.21,8.33,8.36
0,447,144.07,103.62,112.23,116.21,117.24,117.35,8.23,8.31,8.52,8.59
0,460,145.41,98.05,107.92,108.90,109.71,109.48,9.11,9.32,9.70,9.91
0,747,188.28,139.10,151.05,153.62,154.30,154.41,9.01,9.15,9.56,9.78
1,519,198.26,154.59,150.55,144.34,144.73,144.77,8.19,8.19,8.15,8.22
0,170,156.20,87.69,103.74,107.23,107.05,107.09,8.47,8.75,9.22,9.61
1,455,182.66,148.04,132.06,136.01,136.43,135.77,8.08,8.24,8.09,8.02
0,431,142.67,103.07,111.78,115.50,116.47,116.56,8.54,8.59,8.59,8.99
1,854,120.63,81.83,73.71,75.22,75.54,75.56,8.33,8.31,8.38,8.54
1,368,129.43,89.14,74.22,75.17,73.46,72.78,8.08,8.17,8.15,8.21
0,460,136.80,99.45,108.15,112.60,112.60,112.59,8.14,8.37,8.41,8.66
0,5493,158.34,109.39,119.21,124.21,124.79,124.90,8.15,8.24,8.47,8.66
0,976,134.06,97.71,108.70,111.12,111.39,111.33,7.43,7.43,7.68,7.95
1,491,161.38,94.92,86.86,89.20,88.77,88.77,7.11,7.22,7.25,7.34
0,6028,156.80,109.67,119.95,124.19,124.76,124.88,8.21,8.30,8.42,8.62
1,692,165.33,137.37,129.06,131.94,132.19,132.16,8.41,8.33,8.53,8.60
1,537,198.06,159.30,153.45,156.31,156.70,156.77,7.58,7.56,7.61,7.68
1,397,203.54,157.09,140.68,144.43,146.29,146.69,7.50,7.59,7.48,7.57
0,5469,152.45,104.18,113.93,117.38,117.58,117.64,8.31,8.48,8.66,8.86
1,772,185.06,134.63,121.24,126.90,127.26,127.59,7.69,7.64,7.69,7.79
1,162,134.85,85.71,92.04,82.92,82.55,82.00,7.12,7.11,7.11,7.06
0,606,141.77,95.78,108.04,110.26,110.43,110.32,8.34,8.59,8.74,8.82
0,796,147.15,100.25,114.11,116.17,116.73,116.87,8.81,9.00,9.11,9.37
1,688,148.52,105.71,100.41,102.24,102.56,102.45,7.00,6.98,6.87,6.96
0,227,122.15,92.85,106.90,109.35,110.09,110.06,8.09,8.30,8.35,8.47
1,722,194.56,134.28,113.86,111.07,109.95,108.79,7.30,7.30,7.39,7.54
1,4494,135.77,92.66,82.53,83.63,83.49,83.46,7.48,7.46,7.56,7.66
0,641,151.73,103.45,114.74,120.50,122.34,122.61,8.40,8.64,8.80,8.96
0,467,216.34,149.03,156.91,168.05,168.87,169.91,7.92,8.08,8.30,8.52
1,1176,160.91,122.00,109.24,109.91,110.01,109.91,8.06,8.06,8.09,8.22
1,4831,119.85,85.51,76.76,77.89,77.51,77.45,8.04,8.01,8.10,8.24
1,5417,122.94,89.40,82.74,83.17,83.25,83.31,7.91,7.94,7.99,8.09
0,558,146.89,96.10,105.29,107.46,107.74,107.84,8.86,9.10,9.41,9.46
1,592,212.36,157.60,141.83,145.53,144.80,144.93,9.40,9.43,9.51,9.78
0,725,173.70,119.02,133.24,135.77,137.39,137.53,8.63,8.81,9.01,9.26
1,895,186.48,125.56,110.53,112.97,112.46,113.08,7.15,7.02,7.02,7.02
1,270,99.70,49.13,38.99,38.21,37.86,38.16,6.59,6.47,6.54,6.46
1,838,184.42,143.80,135.17,137.05,136.62,136.24,8.08,8.04,8.17,8.31
1,474,193.66,144.51,128.10,131.07,131.33,131.30,8.10,8.12,8.13,8.26
0,418,127.50,90.92,94.34,102.96,103.38,103.73,7.64,7.80,7.92,8.07
0,631,141.47,103.38,113.87,113.59,113.93,113.95,8.25,8.30,8.42,8.56
1,465,226.60,179.95,161.46,162.11,162.66,163.31,8.54,8.32,8.44,8.72
1,697,329.35,277.56,277.60,276.73,279.32,279.00,9.59,9.53,9.87,9.98
1,487,239.88,191.71,184.51,187.43,187.70,187.64,8.79,8.90,9.05,9.20
0,303,139.78,93.49,108.22,113.74,113.44,113.57,7.97,8.15,8.17,8.33
1,720,121.70,86.00,76.22,78.55,79.04,79.03,8.10,7.93,8.02,8.33
1,412,225.96,138.37,125.26,133.83,133.36,133.54,8.26,8.22,8.30,8.36
1,4321,102.95,72.50,64.64,65.42,65.48,65.45,7.97,7.94,8.01,8.13
1,1183,155.71,117.16,104.71,106.48,106.36,106.43,8.69,8.67,8.77,8.83
0,4472,164.11,114.74,126.04,129.84,130.44,130.56,8.54,8.66,8.86,9.08
1,835,169.17,109.43,98.71,100.51,100.72,100.77,7.64,7.42,7.50,7.61
1,383,153.33,111.39,96.46,105.58,106.45,106.20,6.97,6.93,7.04,7.15
1,731,222.59,179.05,160.53,176.02,176.50,176.66,7.57,7.51,7.49,7.68
1,1237,190.31,140.11,125.52,130.22,130.66,130.85,8.77,8.80,8.97,9.14
0,939,158.85,113.36,117.13,125.27,127.04,127.58,8.92,9.09,9.39,9.59
0,787,168.47,128.46,139.17,144.01,144.82,144.91,8.80,9.04,9.24,9.36
1,477,162.23,123.85,121.26,118.68,119.25,119.72,7.44,7.38,7.39,7.42
0,307,105.11,66.90,77.58,78.51,80.85,81.06,7.72,7.89,8.00,8.16
1,804,148.05,92.16,84.72,84.04,84.07,84.05,7.93,7.93,8.01,8.28
1,366,161.60,120.79,114.13,111.95,112.46,112.57,6.86,6.89,7.06,7.27
0,674,133.72,91.56,94.16,100.97,100.67,100.61,7.70,7.81,7.95,8.10
0,1339,154.05,106.90,114.19,118.49,118.93,118.82,8.49,8.64,8.88,9.09
0,351,155.16,100.64,114.99,113.45,113.91,114.38,7.83,7.98,8.29,8.44
1,754,196.40,151.90,141.38,145.41,145.37,145.24,7.28,7.16,7.29,7.39
1,392,198.48,144.45,133.46,137.21,137.01,137.19,7.34,7.17,7.27,7.48
1,314,227.58,178.89,169.37,173.96,174.11,174.10,6.35,6.29,6.34,6.38
0,478,144.06,110.00,126.77,127.57,128.46,129.00,8.23,8.38,8.52,8.72
1,317,201.93,144.51,132.96,128.05,127.36,127.31,8.55,8.55,8.77,8.89
1,308,264.22,234.15,225.46,239.08,238.00,238.07,8.49,8.47,8.51,8.44
0,295,122.15,81.93,88.66,93.36,93.95,94.13,7.92,7.98,8.27,8.62
0,750,157.61,115.95,130.38,131.67,132.08,132.08,7.72,7.84,8.07,8.34
0,428,181.25,125.23,126.41,136.58,136.96,137.04,8.48,8.64,8.71,8.87
1,5049,119.64,83.14,75.11,75.39,75.25,75.24,7.60,7.56,7.65,7.75
0,278,170.48,125.87,143.17,144.23,143.71,144.34,9.01,9.25,9.36,9.41
0,453,118.16,87.75,93.27,102.41,102.82,102.50,7.51,7.68,7.83,7.99
0,356,152.54,100.16,115.18,118.05,118.29,118.38,8.61,8.74,8.85,9.01
1,864,117.74,84.44,73.26,75.80,75.00,75.21,8.49,8.44,8.48,8.65
1,4865,126.70,87.35,78.62,79.25,79.27,79.28,8.30,8.21,8.33,8.47
0,4987,142.80,95.46,106.01,108.62,109.29,109.53,8.04,8.15,8.30,8.45
0,527,119.40,90.49,101.25,101.87,102.92,102.84,7.98,7.96,8.03,8.21
0,4959,153.38,106.00,115.19,119.38,119.91,120.07,8.31,8.45,8.68,8.89
1,784,290.01,249.82,239.60,240.80,240.72,240.52,7.70,7.69,7.67,7.85
1,494,156.61,112.96,103.73,106.92,107.47,107.62,7.55,7.48,7.50,7.75
0,787,165.38,120.52,136.07,141.01,141.48,141.54,8.12,8.18,8.35,8.66
1,5782,109.14,72.69,64.63,65.24,65.16,65.21,8.09,8.08,8.16,8.31
0,412,156.52,112.66,120.05,127.25,128.06,129.17,9.20,9.36,9.61,9.99
1,702,208.99,150.47,141.44,144.42,145.16,145.25,6.81,6.87,6.96,7.03
0,6996,148.26,100.99,110.65,114.07,114.56,114.61,8.03,8.17,8.33,8.51
0,648,109.01,70.81,80.91,83.67,83.47,83.77,7.85,7.95,8.25,8.49
0,665,131.16,89.58,98.46,100.64,100.89,100.94,8.34,8.52,8.73,8.85
0,376,159.35,105.46,112.64,118.48,119.14,119.19,8.86,8.79,9.04,9.33
1,801,147.85,94.64,80.76,81.10,80.42,80.28,7.37,7.38,7.49,7.63
1,570,152.02,104.21,91.77,95.61,96.11,96.50,7.67,7.61,7.70,7.90
0,436,170.50,121.93,131.63,134.78,135.58,135.72,8.93,9.25,9.25,9.26
0,6253,152.11,104.96,115.36,118.94,119.33,119.41,8.16,8.28,8.47,8.65
0,5841,151.05,109.50,118.80,122.86,123.37,123.44,8.45,8.63,8.84,9.04
0,423,195.55,148.02,160.39,168.53,169.09,169.19,7.99,8.09,8.13,8.19
1,377,231.66,168.83,162.90,160.88,161.34,159.09,8.74,8.71,8.85,8.99
1,7348,132.49,92.47,84.30,85.54,85.47,85.53,8.20,8.11,8.15,8.30
1,5219,116.80,79.43,72.61,72.60,72.23,72.30,8.20,8.25,8.35,8.51
0,640,126.66,85.15,94.61,98.89,98.79,98.76,8.02,8.16,8.28,8.42
0,658,148.21,101.87,113.99,119.66,119.90,119.89,8.27,8.18,8.42,8.54
0,1928,175.76,124.81,131.98,137.73,138.53,138.67,8.20,8.31,8.51,8.78
1,472,202.83,163.70,153.57,159.94,160.12,160.29,6.63,6.60,6.66,6.78
0,771,153.88,111.88,118.09,124.56,125.92,125.94,7.90,8.05,8.22,8.33
1,811,172.72,111.79,99.45,101.88,102.23,101.96,8.08,8.03,7.99,8.24
0,402,124.99,86.78,98.34,104.24,104.37,104.51,8.16,8.28,8.62,8.69
0,1711,145.67,101.25,110.77,115.05,115.56,115.59,8.10,8.25,8.46,8.66
1,567,214.99,141.87,132.05,134.29,133.25,133.43,7.25,7.24,7.21,7.33
0,714,116.55,73.98,82.23,83.71,84.16,84.39,8.21,8.36,8.61,8.68
0,1187,130.15,91.83,97.20,102.74,103.68,103.87,8.63,8.79,9.14,9.25
1,1583,106.83,76.45,68.98,70.87,70.83,70.80,8.24,8.24,8.36,8.58
1,1100,147.38,104.37,91.41,93.97,93.78,93.43,8.29,8.23,8.36,8.46
1,446,188.94,150.26,138.48,142.76,142.73,142.40,8.24,8.15,8.29,8.38
1,1659,145.08,98.55,85.92,87.28,87.19,87.11,7.93,7.94,8.07,8.12
0,583,141.56,98.82,105.96,108.61,108.10,108.04,8.44,8.54,8.75,9.10
1,707,103.00,72.90,66.46,68.11,67.31,67.36,8.36,8.29,8.48,8.73
1,1294,149.74,103.36,93.63,92.53,92.91,92.97,7.73,7.72,7.86,8.05
1,517,210.85,179.94,161.44,172.03,172.98,173.09,7.90,7.90,7.98,8.16
1,539,112.71,94.84,82.77,84.59,84.08,84.12,7.57,7.48,7.55,7.69
0,556,178.53,139.20,143.45,153.13,153.53,153.29,8.71,8.80,8.98,9.47
1,2121,238.33,189.26,176.18,181.75,182.38,182.39,7.77,7.79,7.88,8.01
1,594,231.24,185.54,168.03,170.35,170.21,169.46,6.94,7.00,7.05,7.09
0,1531,137.09,89.24,97.13,100.03,100.81,100.82,8.61,8.72,8.93,9.12
0,493,122.24,81.02,84.44,90.91,92.12,92.35,8.97,9.07,9.34,9.55
0,3455,146.13,101.25,111.82,116.67,117.08,117.14,8.46,8.59,8.73,9.01
1,2743,205.52,157.62,148.75,151.88,152.61,152.77,9.31,9.34,9.52,9.82
1,2540,122.15,80.53,72.02,73.06,73.31,73.47,7.69,7.66,7.78,7.96
0,2147,169.56,114.31,125.69,129.46,130.08,130.14,8.28,8.44,8.58,8.75
0,627,122.54,76.04,82.91,87.49,89.24,89.24,8.17,8.38,8.46,8.61
1,871,230.03,192.88,177.54,179.49,179.24,179.13,8.31,8.38,8.54,8.64
1,405,327.56,235.60,209.51,215.23,215.30,215.49,6.68,6.77,6.88,6.88
0,304,162.80,113.29,118.11,123.51,123.57,123.61,8.86,8.93,9.04,9.15
0,592,141.07,94.66,107.64,111.35,111.47,111.64,8.58,8.71,8.92,9.03
1,513,167.53,124.44,109.50,115.73,114.94,115.14,7.68,7.76,7.84,7.90
1,395,158.90,113.77,99.41,102.08,101.94,101.59,8.12,8.02,7.99,8.11
0,242,125.94,93.88,115.16,117.27,119.63,119.61,7.18,7.35,7.29,7.47
1,485,217.06,152.97,129.90,136.80,138.34,138.31,8.46,8.59,8.80,8.94
1,468,145.35,107.21,93.86,96.64,97.25,96.68,7.41,7.33,7.50,7.50
0,599,182.78,126.27,134.76,137.89,138.48,138.43,7.89,7.96,8.18,8.33
1,478,208.37,153.15,139.86,141.39,142.00,142.05,8.33,8.22,8.46,8.72
