Label,WordQty,W2,W4,W5,P4,P5,P6
1,1012,159.00,112.74,116.72,8.36,8.44,9.02
1,570,150.50,95.17,99.36,7.13,7.20,7.60
1,413,238.12,150.02,151.11,7.82,7.97,8.48
1,2661,142.57,94.91,99.49,8.70,8.75,9.26
1,407,104.49,48.14,48.62,7.81,8.02,8.13
0,972,135.21,107.21,119.59,8.34,8.82,9.47
0,551,148.97,131.07,138.99,7.46,7.72,8.14
1,452,140.88,88.36,92.98,7.57,7.72,8.03
1,495,168.60,115.70,118.59,7.32,7.54,7.82
0,466,196.96,162.22,171.12,8.42,8.89,9.65
1,404,238.73,161.32,164.61,7.96,8.20,8.61
0,2685,150.17,118.82,127.51,7.95,8.26,8.82
1,374,258.23,199.94,207.62,6.45,6.57,6.96
0,365,125.47,112.76,123.96,7.51,7.89,8.43
1,525,157.34,103.91,110.24,7.19,7.15,7.71
1,1122,216.84,150.51,160.95,7.98,8.22,8.82
0,363,123.71,106.54,117.31,8.55,8.84,9.69
1,482,169.59,119.04,121.60,7.77,8.22,8.60
1,1085,182.14,121.65,122.74,8.08,8.17,8.53
0,535,101.19,91.32,101.19,8.35,8.65,9.15
1,906,148.21,111.04,119.41,8.54,8.81,9.42
1,1544,123.11,80.26,84.11,8.03,8.14,8.69
0,384,139.19,104.09,115.37,8.34,8.61,9.15
0,209,121.07,80.25,85.50,8.69,8.96,9.58
1,335,169.32,101.00,106.38,7.54,7.50,7.97
0,492,174.33,135.43,142.80,8.05,8.35,8.86
1,1294,219.79,121.57,120.81,7.51,7.60,7.86
1,991,195.93,124.83,128.29,8.36,8.61,8.97
1,4217,161.41,95.45,98.29,7.96,8.13,8.59
0,630,135.06,102.52,115.46,8.98,9.45,10.14
1,478,124.95,80.99,83.91,7.63,7.93,8.44
1,455,263.36,150.21,156.72,8.01,8.15,8.65
1,1121,146.27,113.14,114.66,6.97,7.04,7.38
1,384,289.41,49.87,35.55,8.79,8.55,8.38
1,961,134.89,89.53,92.33,8.02,8.25,8.55
0,551,151.41,126.50,136.36,9.19,9.78,10.55
0,1309,160.98,134.34,143.47,9.01,9.18,9.88
1,514,153.06,102.09,108.27,9.20,9.45,9.92
0,824,183.46,150.56,158.01,8.68,8.91,9.44
1,1195,170.50,83.80,77.42,8.02,8.19,8.53
0,1383,124.42,103.92,110.73,8.61,9.03,9.79
0,289,136.05,120.10,128.21,9.62,10.07,10.65
0,1119,143.10,116.32,125.53,8.57,8.91,9.71
0,1074,193.35,154.40,161.62,8.60,8.92,9.40
1,371,160.22,117.36,123.33,7.47,7.43,7.93
0,4051,145.48,122.58,131.90,8.29,8.59,9.12
1,472,161.07,96.72,98.66,7.44,7.49,7.92
0,433,136.47,119.35,126.22,8.77,9.08,9.86
0,400,185.51,160.99,175.15,8.45,8.37,8.54
0,1220,155.81,128.16,137.34,7.97,8.34,8.83
1,290,161.52,116.53,120.26,8.46,8.78,9.24
1,633,244.12,160.00,158.66,8.10,8.27,8.70
1,1500,128.73,82.16,85.61,7.94,7.91,8.28
1,392,204.39,129.50,128.81,8.56,8.53,8.99
1,521,180.54,109.13,112.75,9.20,9.36,9.92
0,343,163.19,140.31,153.13,9.07,9.60,10.52
0,1030,141.83,125.50,133.46,8.28,8.60,9.26
0,687,174.86,141.86,147.59,7.09,7.17,7.53
0,1291,126.44,107.67,115.24,8.67,8.98,9.48
0,501,151.34,120.60,132.50,8.23,8.69,9.09
0,398,152.43,116.67,129.30,8.28,8.82,9.40
1,554,137.37,78.95,82.36,8.25,8.52,8.81
0,367,161.79,121.40,130.80,8.40,8.59,9.34
1,457,188.19,154.82,167.39,8.75,8.88,9.45
0,476,142.53,126.20,133.27,7.73,8.24,8.69
1,508,184.44,110.50,113.17,6.90,7.12,7.67
1,416,232.11,128.68,129.64,7.82,7.92,8.66
1,499,193.01,151.91,159.08,7.92,8.08,8.84
1,6360,132.84,83.31,86.39,8.80,8.93,9.65
1,450,196.76,116.87,123.99,10.18,10.50,11.04
1,803,259.86,171.13,172.62,7.56,7.70,8.09
1,486,272.58,189.89,198.62,7.19,7.15,7.65
1,531,138.62,87.98,90.19,8.24,8.45,8.84
0,1128,147.71,116.38,124.73,8.02,8.34,8.77
1,910,190.27,114.95,115.93,7.25,7.36,7.68
1,1234,152.52,107.81,108.61,8.04,8.34,8.81
0,329,184.85,157.50,170.94,9.57,9.95,11.08
1,5832,115.63,74.25,77.18,8.39,8.60,9.19
0,501,153.24,124.00,132.67,8.43,8.95,9.66
0,646,145.42,121.16,130.01,7.93,8.13,8.52
1,1540,132.46,83.86,85.97,8.78,8.86,9.30
0,518,174.33,143.20,152.36,7.60,8.06,8.50
0,616,130.29,108.94,117.16,7.81,8.04,8.60
0,391,150.84,126.08,135.28,7.33,7.56,8.19
0,560,147.68,114.28,118.36,8.01,8.36,9.08
0,7162,148.00,117.10,126.79,8.27,8.58,9.09
0,326,96.40,68.26,73.83,7.95,8.13,8.78
1,528,189.45,124.89,129.93,8.31,8.63,9.23
0,801,120.44,102.78,113.15,7.81,8.15,8.76
0,485,166.48,137.16,146.83,7.95,8.53,9.26
0,542,141.65,96.78,107.08,8.75,8.76,9.31
0,927,152.36,129.33,137.59,8.45,8.80,9.60
1,432,268.22,201.32,207.31,7.98,8.02,8.74
1,472,198.11,134.34,142.03,8.24,8.46,9.10
0,1534,136.44,109.62,117.90,8.03,8.39,8.96
0,6817,153.78,127.68,137.39,8.27,8.59,9.22
0,1124,135.08,118.51,127.79,8.30,8.66,9.33
0,244,92.24,81.25,87.95,8.72,8.94,9.28
0,503,146.96,125.90,135.41,7.51,7.89,8.58
1,492,251.38,172.89,181.82,7.85,8.04,8.62
0,527,137.71,102.05,112.46,8.88,8.90,9.50
0,334,130.21,104.85,110.34,10.70,11.34,12.40
0,309,125.67,99.86,109.31,7.66,8.22,8.89
0,276,124.73,92.70,101.40,8.59,9.10,9.57
1,375,238.62,175.01,180.57,7.72,7.88,8.37
0,435,177.10,159.57,169.28,8.49,8.97,9.93
0,701,167.44,135.33,142.95,8.46,8.71,9.25
1,382,156.44,98.86,105.64,6.70,6.95,7.15
1,508,249.08,142.53,144.10,6.69,6.81,6.94
0,1945,161.58,136.80,148.66,8.35,8.73,9.31
0,239,135.47,107.14,112.31,9.13,9.44,10.03
0,660,183.31,157.08,165.99,8.64,9.00,9.61
0,1740,176.41,153.58,163.15,8.48,8.77,9.21
1,561,179.34,119.32,122.49,8.31,8.49,8.99
0,641,145.92,104.97,114.42,7.41,7.82,8.29
0,174,140.90,120.12,135.58,11.94,12.28,13.20
0,1820,145.54,113.43,121.45,8.03,8.41,8.89
0,591,147.52,103.99,111.57,7.82,8.09,8.68
0,1065,134.71,111.91,119.88,7.53,7.89,8.45
0,644,155.41,131.91,141.64,8.56,8.83,9.59
1,1379,93.45,42.71,42.94,7.80,7.89,8.37
1,406,245.98,182.22,186.52,9.03,9.25,9.74
1,575,200.47,123.77,123.79,9.41,9.36,10.32
1,1208,93.40,49.90,49.06,8.29,8.34,8.62
1,541,202.57,126.89,133.70,7.84,8.29,8.88
1,200,257.26,177.99,180.52,7.04,6.96,7.41
0,1155,158.63,127.03,134.15,8.63,8.89,9.50
0,706,154.10,122.52,134.51,8.15,8.57,9.06
1,1778,138.28,91.15,93.52,8.05,8.21,8.73
1,558,251.12,195.48,194.37,7.65,7.77,8.18
0,518,141.23,116.41,127.79,9.16,9.53,9.87
0,1177,161.98,128.59,139.66,9.27,9.74,10.72
0,525,125.74,108.45,120.45,7.99,8.30,8.67
0,505,136.71,136.91,145.24,7.20,7.31,7.91
1,1151,253.28,152.19,156.06,7.66,7.90,8.39
1,611,356.64,220.73,223.07,7.99,8.28,8.59
0,684,152.07,121.26,131.19,8.37,8.81,9.29
1,1022,243.10,146.49,147.66,8.42,8.59,9.20
0,447,144.07,127.31,139.79,8.26,8.34,8.88
0,460,145.41,118.86,121.71,9.32,9.34,10.36
0,747,188.28,153.02,162.31,9.03,9.45,10.08
1,519,198.26,135.49,138.30,8.21,8.46,8.96
0,170,156.20,114.79,118.07,8.45,8.68,9.40
1,455,182.66,132.27,135.49,8.08,8.25,8.85
0,431,142.67,120.41,129.73,8.60,9.00,9.34
1,854,120.63,72.34,72.82,8.34,8.39,8.80
1,368,129.43,69.42,70.91,8.30,8.39,9.00
0,460,136.80,112.22,123.59,8.19,8.63,9.30
0,5493,158.34,126.78,137.25,8.18,8.54,9.18
0,976,134.06,117.12,128.11,7.47,7.64,8.03
1,491,161.38,86.76,84.62,7.12,7.41,7.77
0,6028,156.80,129.99,140.25,8.29,8.58,9.04
1,692,165.33,127.70,131.72,8.36,8.46,9.02
1,537,198.06,155.74,161.11,7.59,7.71,7.96
1,397,203.54,146.61,150.89,7.49,7.72,7.93
0,5469,152.45,125.73,137.88,8.39,8.74,9.28
1,772,185.06,110.81,112.24,7.76,7.85,8.24
1,162,134.85,81.66,79.71,7.06,7.12,7.67
0,606,141.77,121.19,129.39,8.40,8.84,9.70
0,796,147.15,122.61,133.17,8.93,9.43,9.93
1,688,148.52,110.88,114.58,7.06,7.12,7.26
0,227,122.15,122.77,126.01,8.35,8.70,8.82
1,722,194.56,103.77,98.22,7.31,7.39,7.78
1,4494,135.77,84.94,88.31,7.49,7.61,8.11
0,641,151.73,119.60,131.30,8.47,8.81,9.07
0,467,216.34,177.47,190.01,8.02,8.21,8.91
1,1176,160.91,105.39,107.54,8.10,8.32,8.76
1,4831,119.85,79.71,83.66,8.05,8.25,8.84
1,5417,122.94,85.18,89.51,7.95,8.15,8.55
0,558,146.89,116.29,128.32,8.87,9.16,9.75
1,592,212.36,147.37,146.88,9.44,9.72,10.47
0,725,173.70,131.36,136.52,8.72,8.91,9.44
1,895,186.48,72.26,60.78,7.23,7.19,7.39
1,270,99.70,39.33,39.48,6.56,6.55,6.84
1,838,184.42,137.04,144.13,8.23,8.41,8.99
1,474,193.66,123.85,132.38,8.10,8.42,8.78
0,418,127.50,106.07,117.75,7.63,7.93,8.54
0,631,141.47,125.13,130.83,8.32,8.60,9.18
1,465,226.60,152.73,150.90,8.57,8.55,8.81
1,697,329.35,282.44,292.70,9.70,9.93,10.92
1,487,239.88,190.72,195.09,8.93,9.31,10.10
0,303,139.78,128.47,130.00,8.05,8.40,8.97
1,720,121.70,81.41,82.85,8.17,8.09,8.58
1,412,225.96,125.56,127.25,8.33,8.58,9.01
1,4321,102.95,63.22,64.54,8.01,8.11,8.55
1,1183,155.71,101.49,104.13,8.74,9.06,9.65
0,4472,164.11,134.75,144.18,8.56,8.93,9.56
1,835,169.17,99.23,104.32,7.62,7.65,7.92
1,383,153.33,98.61,98.97,6.95,7.08,7.41
1,731,222.59,163.85,171.83,7.59,7.60,7.98
1,1237,190.31,127.06,132.44,8.80,9.03,9.67
0,939,158.85,123.43,134.45,8.95,9.46,10.06
0,787,168.47,151.54,162.18,8.75,9.17,9.85
1,477,162.23,113.24,116.67,7.43,7.43,7.96
0,307,105.11,81.50,91.77,7.70,8.09,8.26
1,804,148.05,87.99,90.69,7.98,8.08,8.51
1,366,161.60,120.50,123.01,6.79,6.89,7.27
0,674,133.72,101.61,109.03,7.67,7.97,8.40
0,1339,154.05,126.45,132.98,8.53,8.82,9.47
0,351,155.16,130.24,137.18,7.90,8.24,8.70
1,754,196.40,134.05,137.15,7.28,7.43,7.73
1,392,198.48,130.02,131.56,7.33,7.29,7.62
1,314,227.58,176.87,193.00,6.40,6.47,6.94
0,478,144.06,135.59,148.60,8.40,8.52,9.02
1,317,201.93,131.52,133.41,8.69,8.96,9.57
1,308,264.22,232.56,247.03,8.55,8.66,9.26
0,295,122.15,97.05,113.08,7.96,8.23,8.89
0,750,157.61,145.71,155.36,7.76,8.02,8.55
0,428,181.25,130.83,144.50,8.44,8.62,8.92
1,5049,119.64,79.06,81.85,7.63,7.74,8.17
0,278,170.48,150.65,159.46,9.15,9.42,10.17
0,453,118.16,94.48,101.55,7.50,7.77,8.35
0,356,152.54,129.81,137.45,8.67,9.20,9.90
1,864,117.74,74.43,77.16,8.47,8.71,9.29
1,4865,126.70,80.70,83.64,8.34,8.45,9.11
0,4987,142.80,118.77,127.76,8.12,8.44,8.97
0,527,119.40,109.71,114.72,7.96,8.00,8.57
0,4959,153.38,125.19,134.72,8.40,8.70,9.32
1,784,290.01,223.48,231.96,7.69,7.85,8.32
1,494,156.61,108.13,111.10,7.46,7.38,7.88
0,787,165.38,139.41,148.75,8.14,8.46,9.07
1,5782,109.14,65.55,67.68,8.14,8.31,8.76
0,412,156.52,130.31,141.67,9.27,9.52,10.31
1,702,208.99,150.68,156.91,6.83,7.02,7.26
0,6996,148.26,119.61,128.81,8.07,8.39,8.90
0,648,109.01,92.00,101.67,7.90,8.21,8.91
0,665,131.16,102.39,111.66,8.39,8.84,9.45
0,376,159.35,126.56,134.23,9.02,9.25,10.20
1,801,147.85,75.52,77.04,7.44,7.59,7.95
1,570,152.02,84.43,89.73,7.66,7.72,8.03
0,436,170.50,133.43,141.35,9.07,9.53,10.34
0,6253,152.11,125.21,134.49,8.21,8.49,9.12
0,5841,151.05,128.30,137.32,8.48,8.87,9.58
0,423,195.55,166.46,180.69,8.00,8.49,8.87
1,377,231.66,144.03,148.48,8.88,9.01,9.46
1,7348,132.49,85.71,89.64,8.26,8.37,8.84
1,5219,116.80,73.65,76.69,8.21,8.38,8.93
0,640,126.66,102.10,111.33,8.12,8.33,8.66
0,658,148.21,128.10,136.29,8.30,8.35,8.87
0,1928,175.76,146.98,154.71,8.29,8.63,9.22
1,472,202.83,152.91,161.91,6.60,6.62,7.16
0,771,153.88,127.38,136.35,7.96,8.26,8.86
1,811,172.72,91.51,97.23,8.09,8.16,8.57
0,402,124.99,110.62,121.62,8.13,8.39,9.30
0,1711,145.67,122.35,132.94,8.11,8.48,9.10
1,567,214.99,134.53,139.58,7.32,7.47,7.67
0,714,116.55,87.15,96.28,8.20,8.64,9.16
0,1187,130.15,103.06,113.51,8.76,9.20,9.78
1,1583,106.83,69.94,73.06,8.25,8.48,8.90
1,1100,147.38,86.47,91.11,8.38,8.62,9.00
1,446,188.94,148.64,152.91,8.28,8.44,8.99
1,1659,145.08,76.45,73.75,7.97,8.19,8.66
0,583,141.56,110.08,114.30,8.47,8.90,9.52
1,707,103.00,68.87,74.14,8.40,8.68,9.41
1,1294,149.74,95.63,98.25,7.84,8.03,8.64
1,517,210.85,147.93,155.58,7.93,8.00,8.45
1,539,112.71,85.97,94.91,7.65,7.76,8.05
0,556,178.53,147.39,157.45,8.75,9.06,9.71
1,2121,238.33,182.47,190.49,7.80,7.97,8.37
1,594,231.24,157.43,164.11,6.96,7.11,7.46
0,1531,137.09,109.76,117.40,8.71,8.98,9.46
0,493,122.24,92.17,101.98,9.05,9.33,10.47
0,3455,146.13,122.77,132.63,8.53,8.85,9.38
1,2743,205.52,150.95,155.82,9.32,9.53,10.38
1,2540,122.15,72.97,75.91,7.72,7.79,8.15
0,2147,169.56,136.87,144.88,8.34,8.73,9.18
0,627,122.54,90.37,97.08,8.19,8.58,9.12
1,871,230.03,78.61,61.29,8.35,8.50,9.05
1,405,327.56,208.67,205.14,6.67,6.78,6.84
0,304,162.80,124.85,139.50,8.94,9.46,9.82
0,592,141.07,112.30,121.80,8.71,9.04,9.75
1,513,167.53,110.69,117.16,7.64,7.96,8.28
1,395,158.90,99.35,105.57,8.20,8.32,8.60
0,242,125.94,125.25,134.15,7.33,7.51,7.88
1,485,217.06,133.53,139.50,8.53,8.68,9.17
1,468,145.35,96.14,100.31,7.48,7.49,8.06
0,599,182.78,152.02,162.77,7.93,8.22,8.83
1,478,208.37,140.88,145.85,8.32,8.62,9.25
1,3297,114.73,74.64,77.31,8.01,8.05,8.54
1,1093,192.19,132.93,136.22,7.40,7.53,7.78
0,332,144.26,122.19,137.93,8.72,9.32,10.16
0,627,158.61,126.88,136.50,7.59,7.92,8.23
0,3575,143.29,118.89,129.72,8.03,8.32,8.84
1,600,276.10,202.29,211.03,7.37,7.38,7.82
1,378,189.51,136.13,140.00,7.73,7.85,8.25
0,1077,157.21,134.81,145.06,8.61,8.95,9.25
1,1682,132.81,90.80,93.77,7.79,7.89,8.35
1,821,275.41,200.45,203.19,7.76,7.90,8.30
1,1658,153.59,112.78,118.31,8.25,8.36,8.76
1,1127,241.44,169.29,174.75,8.81,8.94,9.58
0,612,144.79,119.11,128.32,8.57,9.13,9.55
1,1131,161.54,82.69,83.97,8.03,8.10,8.52
0,252,139.30,106.47,115.91,8.27,8.36,9.03
1,414,136.66,76.00,82.95,8.42,8.70,9.23
1,1060,131.41,77.66,78.99,7.47,7.63,7.88
0,1959,148.69,118.74,126.03,8.85,9.23,9.90
0,577,124.97,102.10,111.41,8.74,9.06,9.55
0,2154,170.32,143.92,157.58,9.17,9.65,10.41
0,966,166.55,129.25,136.92,8.33,8.53,9.20
1,1762,144.44,74.71,72.25,8.39,8.65,9.23
0,1145,140.55,123.34,134.27,8.26,8.48,9.11
1,402,140.19,82.80,87.89,8.14,8.32,8.53
1,3573,183.48,139.06,144.63,8.56,8.66,9.21
0,377,158.95,141.25,149.39,7.01,7.15,7.88
0,1155,159.23,131.13,142.76,8.57,9.04,9.86
0,1375,138.44,116.45,128.18,8.60,9.07,9.67
1,1452,109.60,71.93,74.37,7.97,8.24,8.77
1,480,132.27,92.04,93.53,7.67,7.93,8.51
0,582,141.75,103.44,108.19,8.25,8.72,9.07
0,3165,156.22,127.03,133.86,7.98,8.30,8.94
0,1586,137.35,108.51,118.93,8.11,8.27,8.85
0,650,166.23,136.06,146.01,9.79,10.44,11.02
0,2099,149.72,124.93,137.29,8.22,8.55,9.08
1,1942,146.12,93.37,99.38,7.88,8.01,8.62
1,362,185.76,141.53,144.14,8.13,8.11,8.63
0,433,133.13,107.66,113.73,7.55,7.82,8.32
1,452,199.08,129.51,139.82,7.54,7.74,8.32
0,428,148.30,122.49,129.73,8.07,8.20,8.68
0,509,162.42,134.53,141.57,8.58,9.02,9.59
1,414,169.23,129.88,134.86,8.72,8.78,9.29
1,710,235.83,160.63,170.02,8.51,8.89,9.36
1,756,109.93,69.11,74.29,8.64,8.67,9.13
1,1198,220.28,175.33,181.24,9.29,9.67,10.57
1,1271,148.64,46.17,36.98,7.66,7.77,8.10
0,713,146.52,120.39,131.86,8.00,8.32,9.00
0,1086,154.60,126.53,138.26,8.18,8.46,9.08
0,1424,126.90,101.65,109.72,8.77,9.02,9.81
0,1158,147.54,121.78,128.53,8.19,8.38,8.97
1,330,145.33,93.86,95.91,8.36,8.49,9.20
0,408,133.39,104.77,112.30,8.78,9.39,10.15
1,352,237.08,194.10,199.39,6.16,6.14,6.21
1,912,112.09,62.73,65.18,8.38,8.58,9.40
1,323,269.21,183.62,189.91,9.62,9.77,10.25
0,317,136.68,106.39,116.14,7.18,7.38,7.66
0,1648,135.10,114.16,122.60,8.24,8.56,9.12
0,263,147.37,106.94,116.45,9.40,9.57,10.08
1,422,149.07,103.54,109.07,6.70,6.76,6.97
0,506,136.88,115.63,128.79,7.95,8.33,8.92
0,1524,135.65,111.95,122.58,8.37,8.59,9.21
1,1612,106.83,65.73,68.94,8.43,8.56,8.94
0,564,158.25,125.89,137.29,8.64,8.84,9.44
0,743,155.93,125.05,134.35,8.55,8.98,9.50
1,623,262.84,197.28,205.91,7.80,7.94,8.66
0,2569,138.36,109.91,118.22,8.58,8.88,9.65
0,347,178.80,150.07,161.06,9.72,10.45,11.01
1,629,145.92,37.11,25.28,7.44,7.44,8.00
0,1305,135.74,105.88,113.06,9.07,9.43,9.88
0,1040,141.05,124.90,135.67,7.88,8.18,8.67
0,1009,172.24,138.15,147.72,8.25,8.48,8.96
1,2607,147.67,32.91,22.07,7.91,7.88,7.97
1,418,178.15,96.60,97.90,6.88,6.96,7.45
1,1216,153.84,113.39,115.36,7.56,7.69,8.14
0,4340,148.22,115.31,123.88,8.32,8.63,9.19
1,1122,191.67,123.09,127.22,8.12,8.41,9.01
1,1201,150.80,107.52,111.88,8.15,8.29,8.84
1,3542,139.70,94.85,97.15,7.84,7.93,8.31
0,232,109.53,103.05,111.06,7.01,7.06,7.65
1,487,193.42,137.81,144.40,6.77,6.74,6.92
1,396,213.93,160.13,171.83,8.64,8.68,8.97
0,308,138.42,96.91,99.45,8.31,8.66,9.13
1,3053,100.84,56.55,56.88,8.71,8.92,9.48
0,3674,152.75,123.15,131.97,8.35,8.70,9.24
0,821,152.98,130.95,142.28,9.05,9.53,10.13
0,3673,152.20,125.00,132.54,8.39,8.80,9.45
0,586,165.61,137.99,147.61,8.05,8.53,9.00
1,664,212.45,153.16,156.41,8.03,8.21,8.62
1,3671,154.52,83.95,85.18,8.22,8.29,8.78
1,623,171.14,111.93,118.33,8.36,8.71,9.05
0,215,150.91,137.75,147.29,7.54,7.82,8.14
1,160,210.15,156.67,156.95,7.51,7.64,8.49
1,987,182.10,113.48,119.35,7.66,7.96,8.31
0,698,152.25,129.50,137.61,8.81,9.06,9.36
1,441,180.41,97.90,99.88,9.29,9.46,9.94
0,545,142.19,127.41,133.21,9.22,9.63,10.27
0,236,122.95,107.90,114.97,10.60,11.32,12.42
1,439,168.15,79.39,80.14,7.51,7.42,7.51
1,4569,109.22,60.80,62.58,8.39,8.46,9.09
0,3868,144.34,116.95,127.56,8.41,8.76,9.37
0,400,137.11,105.50,114.38,8.09,8.64,9.24
1,481,218.10,175.23,180.23,7.75,7.72,8.48
1,592,212.47,148.74,150.09,7.79,7.89,8.40
1,855,128.90,82.65,82.55,7.33,7.47,7.87
1,813,189.23,106.95,102.21,7.92,8.30,8.79
1,555,197.41,110.34,112.98,7.96,8.12,8.47
0,612,157.66,137.17,147.15,8.76,9.19,9.81
0,822,114.24,90.71,100.86,8.81,9.03,9.85
1,560,137.02,77.29,76.88,7.61,7.84,8.05
1,617,213.11,150.82,156.01,7.77,7.94,8.57
0,530,133.31,112.56,118.69,8.87,9.08,9.92
0,358,136.81,108.93,116.77,8.51,9.07,9.92
0,486,121.12,94.49,104.69,8.44,8.63,9.50
1,791,148.20,78.93,79.49,7.18,7.23,7.83
0,631,186.87,161.30,171.87,8.25,8.57,9.10
1,773,152.00,103.97,106.37,7.48,7.64,8.16
0,642,158.40,124.90,136.69,8.07,8.32,8.59
0,570,123.01,104.33,110.01,8.16,8.47,9.20
0,354,182.03,137.17,144.76,8.62,9.01,9.73
0,973,144.18,110.51,120.81,7.68,7.91,8.15
1,384,151.89,63.69,59.27,9.54,9.74,10.22
1,720,124.03,86.43,90.58,7.64,7.88,8.37
0,533,148.84,116.65,127.50,7.09,7.43,7.94
0,1010,155.37,133.88,144.12,8.61,8.87,9.40
0,292,153.58,129.46,137.41,7.78,7.89,8.52
1,525,226.67,174.75,176.40,8.23,8.54,9.13
1,690,142.80,81.15,83.94,7.61,7.78,8.08
1,414,207.22,142.49,148.25,8.21,8.54,8.82
1,10032,105.00,67.41,69.74,8.31,8.49,9.00
0,11855,152.15,127.96,138.15,8.23,8.55,9.04
1,652,151.42,96.33,96.58,6.97,7.14,7.79
0,502,118.79,87.72,98.52,7.97,8.15,8.69
0,895,160.48,123.29,132.40,7.37,7.62,8.16
1,732,148.11,114.87,119.40,8.59,8.86,9.52
1,325,99.29,65.54,69.98,7.59,7.63,8.07
0,489,135.67,101.08,111.64,8.40,8.62,9.11
1,357,155.59,97.51,100.56,7.76,7.83,8.39
1,575,176.45,92.34,96.32,6.60,6.72,7.01
0,238,134.03,107.50,116.56,9.34,9.65,10.53
1,629,178.09,111.35,114.17,7.11,7.14,7.27
0,547,163.36,126.62,138.24,9.31,9.76,10.63
1,382,145.48,65.58,60.38,6.77,6.81,7.36
0,658,174.26,138.50,141.51,8.19,8.55,9.30
0,338,150.60,128.54,139.95,7.83,8.08,8.52
0,277,144.91,123.80,132.15,8.89,9.27,10.01
0,702,142.40,114.16,126.10,9.49,9.80,10.30
0,328,160.88,148.79,160.98,8.10,8.46,8.88
1,422,196.97,117.21,121.26,6.97,7.19,7.34
0,1411,171.95,150.27,161.80,8.35,8.55,9.16
1,556,188.88,127.67,135.15,6.88,7.12,7.42
1,441,190.58,149.54,158.94,7.48,7.55,7.98
1,1808,110.70,67.27,70.09,7.98,8.12,8.66
0,206,156.69,107.31,110.68,8.60,8.96,10.30
0,1031,121.96,99.05,104.90,8.23,8.54,9.06
0,779,158.95,133.85,144.68,7.90,8.16,8.42
0,358,179.23,147.32,156.54,7.07,7.37,8.03
1,241,314.28,208.05,207.26,8.39,8.78,9.31
0,2005,148.80,122.49,130.90,8.19,8.57,9.06
1,937,239.22,159.83,164.97,7.57,7.81,8.16
0,220,113.54,91.15,98.60,8.92,9.27,10.86
1,785,146.13,103.31,108.42,8.51,8.76,9.28
0,549,180.59,139.37,144.60,8.16,8.43,8.66
0,585,191.34,149.56,160.53,8.77,9.26,10.00
1,447,149.09,97.00,99.02,6.70,6.75,7.04
0,508,192.18,155.19,164.86,7.63,7.91,8.31
0,424,158.05,126.06,131.23,9.27,9.52,10.06
0,690,128.03,103.83,110.86,8.28,8.63,9.39
0,352,145.69,116.59,124.86,8.58,8.69,9.23
0,496,119.36,97.83,109.39,8.72,8.84,9.48
1,1677,115.11,76.22,80.47,8.29,8.45,8.81
0,1433,167.44,136.16,147.83,8.17,8.60,9.22
1,378,301.74,229.06,223.04,7.04,7.00,7.48
1,334,179.85,132.68,136.68,8.85,9.00,9.74
0,432,153.95,120.65,132.09,8.19,8.57,8.89
0,712,128.84,108.66,118.08,8.74,9.10,9.47
1,547,119.56,78.13,81.75,7.84,8.08,8.32
1,494,171.48,119.18,127.67,7.76,8.01,8.60
0,1396,155.14,125.41,132.75,8.86,9.26,10.00
1,436,184.42,110.88,111.27,9.09,9.34,10.12
